"Scenario","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PDoesntFile","P Files","DDoesntAnswer","D Answers","Settles1","DoesntSettle1","PAbandons1","PDoesntAbandon1","DDefaults1","DDoesntDefault1","POrDQuits1","Settles2","DoesntSettle2","PAbandons2","PDoesntAbandon2","DDefaults2","DDoesntDefault2","POrDQuits2","P Loses","P Wins"
"CostsMult0","MutOptLiability4",0.0018,0,0.0018,0.37037,1,1,0,0,,,,,0,,,,,0,0,0,0,,,,,0,,,,,0,0,1,0.444444,1044440,955556,1044440,955556,0,33333.3,0,0,0,0,,0,0,0,0.111111,0,4,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.555556,0.444444
"CostsMult0","MutOptLiability3",0.0264,0,0.0264,0.502525,1,1,0,0,,,,,0,,,,,0,0,0.174242,0.151515,,,,,0,,,,,0,0,1,0.492424,1049240,950758,1049240,950758,0,18181.8,17424.2,0,0,0,,0,0,0,0.484848,0,3,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.507576,0.492424
"CostsMult0","MutOptLiability2",0.1002,0,0.1002,0.50499,1,1,0,0.0439122,0.833333,0.166667,0.00783022,0.00790788,0,,,,,0,0,0.203593,0.249501,,,,,0,,,,,0,0,1,0.526946,1052690,947305,1052690,947305,0,17165.7,15169.7,0,0,0,,0,0,0,0.506986,0,2,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.473054,0.526946
"CostsMult0","MutOptLiability1",0.2126,0,0.2126,0.495923,1,1,0.131703,0.163688,0.824561,0.166667,0.0119812,0.0114769,0,,,,,0,0,0.29539,0.35842,0.833333,0.166667,0.0839264,0.0274022,0,,,,,0,0,1,0.479774,1047980,952023,1047980,952023,0,12041.4,13640.6,0,0,0,,0,0,0,0.495767,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.520226,0.479774
"CostsMult0","MutOptLiability0",0.324,0,0.324,0.504938,1,1,0.176543,0.223457,0.788288,0.216216,0.0412974,0.0308702,0,,,,,0,0,0.377778,0.483951,,,,,0,,,,,0,0,1,0.521605,1052160,947840,1052160,947840,0,15493.8,13333.3,0,0,0,,0,0,0,0.5,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.478395,0.521605
"CostsMult0","MutOptLiability-1",0.2056,0,0.2056,0.496433,1,1,0.215953,0.247082,0.742284,0.263889,0.055547,0.0487701,0,,,,,0,0,0.449416,0.590467,,,,,0,,,,,0,0,1,0.480545,1048050,951946,1048050,951946,0,10603.1,11867.7,0,0,0,,0,0,0,0.493191,0,-1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.519455,0.480545
"CostsMult0","MutOptLiability-2",0.0984,0,0.0984,0.488821,1,1,0.284553,0.371951,0.698238,0.267254,0.0767121,0.0603358,0,,,,,0,0,0.581301,0.743902,0.692982,0.254386,0.0893362,0.0747273,0,,,,,0,0,1,0.45122,1045120,954878,1045120,954878,0,12195.1,17479.7,0,0,0,,0,0,0,0.504065,0,-2,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0.54878,0.45122
"CostsMult0","MutOptLiability-3",0.029,0,0.029,0.508046,1,1,0.468966,0.434483,0.66,0.32,0.0954449,0.0922832,0,,,,,0,0,0.682759,0.875862,0.602564,0.333333,0.0911217,0.0648429,0.00689655,,,,,0,0,0.993103,0.520833,1051950,948046,1051950,948046,0,19540.2,14482.8,0,0,0.00689655,33333.3,0,0,0,0.468966,0,-3,0,1,0,1,0,1,0,1,0,1,0,0.00689655,0.993103,0,0.993103,0,0.993103,0,0.475862,0.517241
"CostsMult0","MutOptLiability-4",0.002,0,0.002,0.5,1,1,0.3,0.4,0.592593,0.37037,0.122641,0.107185,0,,,,,0,0,0.9,1,0.5,0.444444,0.103623,0.0491287,0.4,,,,,0,0,0.6,0.5,1050000,950000,1050000,950000,0,20000,20000,0,0,0.4,50000,0,0,0,0.5,0,-4,0,1,0,1,0,1,0,1,0,1,0,0.4,0.6,0,0.6,0,0.6,0,0.3,0.3
"CostsMult0","MutOptLiability-5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
