"Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"MutOptLiability-3",0.0015,0,0.00148,0.486486,1,1,1,1,0.247748,0.779279,0.0575575,0.0269901,1,,,,,0,0,1,1,,,,,0,,,,,0,0,0,,1057030,902973,1057030,902973,40000,59324.3,20540.5,0,0,1,77027,0,0,0,0.459459,0,-3,1,1,0,0,1,0,0,0,0,0,0,0
"MutOptLiability-4",4E-05,0,4E-05,0.5,1,1,1,1,0.166667,0.833333,0.026781,0.0211742,1,,,,,0,0,1,1,,,,,0,,,,,0,0,0,,1055000,905000,1055000,905000,40000,95000,0,0,0,1,75000,0,0,0,0,0,-4,1,1,0,0,1,0,0,0,0,0,0,0
"MutOptLiability-5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Liable MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Liable MutOptLiability4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Truly Liable MutOptLiability3",0.0006,0,0.00056,0.511905,1,1,1,1,0.833333,0.166667,0.0149325,0.0172105,0,,,,,0,0,1,1,0.809524,0.22619,0.0259286,0.0302738,0,,,,,0,0,1,0.5,1067860,832143,1067860,832143,100000,83928.3,66071.8,0,0,0,,0,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0.5,0.5
"Truly Liable MutOptLiability2",0.0144,0,0.01444,0.559557,1,1,1,1,0.831948,0.272392,0.0176136,0.0533421,0.155125,,,,,0,0,1,1,0.801639,0.279235,0.0318383,0.0510823,0.0443213,,,,,0,0,0.800554,0.546713,1059330,851302,1059330,851302,89362.9,65193.7,62174.8,0,0,0.199446,125000,0,0,0,1,0,2,1,1,0,0,0.155125,0,0,0.0443213,0,0,0.362881,0.437673
"Truly Liable MutOptLiability1",0.1052,0,0.10516,0.628439,1,1,1,1,0.812286,0.478636,0.0224184,0.0511497,0.488779,,,,,0,0.000380373,1,1,0.737032,0.339414,0.047573,0.0749718,0.0813998,,,,,0.000380373,0,0.42906,0.617021,1072440,859364,1072440,859364,68197,50161.5,42412.7,0,0,0.570179,112767,0.000380373,0.000380373,0,1,0,1,1,1,0,0,0.488779,0,0.000380373,0.0813998,0.000380373,0,0.164321,0.264739
"Truly Liable MutOptLiability0",0.2588,0,0.25884,0.686602,0.999691,0.999227,1,1,0.790107,0.657336,0.023985,0.0379786,0.793849,,,,,0,0.000154536,1,1,0.585216,0.383158,0.0740106,0.086515,0.0902488,,,,,0.000154536,0.000463607,0.114356,0.617568,1084740,865699,1084740,865699,49558.8,42634.4,27719.9,0,0,0.884098,111654,0.000154536,0.000618142,0,1,0,0,0.999691,0.999227,0.000309071,0.000463607,0.793849,0,0.000154536,0.0902488,0.000154536,0.000463607,0.0437336,0.0706228
"Truly Liable MutOptLiability-1",0.1053,0,0.10528,0.630319,0.99962,0.99848,1,1,0.716768,0.663432,0.0339028,0.0402492,0.901596,,,,,0,0,1,1,0.453595,0.47451,0.0952806,0.135313,0.0611702,,,,,0,0,0.035714,0.62766,1081320,874755,1081320,874755,43922.9,32468.6,30034.2,0,0,0.962766,103867,0,0,0,1,0,-1,0.99962,0.99848,0.000379939,0.00113982,0.901596,0,0,0.0611702,0,0,0.0132979,0.0224164
