"Filter","All","Trial","PWinsAtTrial","DWinsAtTrial","TrialDamages","PWelfare","DWelfare","LiabStr 1","LiabStrPct 1","LiabStr 2","LiabStrPct 2","LiabStr 3","LiabStrPct 3","LiabStr 4","LiabStrPct 4","LiabStr 5","LiabStrPct 5","DamStr 1","DamStr 2","DamStr 3","DamStr 4","DamStr 5","PLiabilitySignal 1","PLiabilitySignal 2","PLiabilitySignal 3","PLiabilitySignal 4","PLiabilitySignal 5","DLiabilitySignal 1","DLiabilitySignal 2","DLiabilitySignal 3","DLiabilitySignal 4","DLiabilitySignal 5"
"DSignal Liab 3 Dam 5",0.0453,1,0.483216,0.516784,64841,1079680,820319,0.00530035,0.00123967,0.127208,0.0358834,0.724382,0.11716,0.138693,0.0388133,0.00441696,0.000979816,0,0,0.00795053,0.188163,0.803887,0.0185512,0.212898,0.484099,0.25,0.0344523,0,0,1,0,0
"DSignal Liab 4 Dam 1",0.0372,1,0.806243,0.193757,51184.1,1052370,847633,0,0,0.00538213,0.00124595,0.282024,0.0374339,0.47901,0.110012,0.233584,0.042524,0.795479,0.200215,0.00322928,0.00107643,0,0.00215285,0.0775027,0.272336,0.381055,0.266954,0,0,0,1,0
"DSignal Liab 4 Dam 2",0.038,1,0.794953,0.205047,63117.8,1076230,823765,0,0,0.0042061,0.000996761,0.292324,0.03972,0.493165,0.115946,0.210305,0.0391926,0.225026,0.564669,0.202944,0.00736067,0,0.00105152,0.0799159,0.276551,0.399579,0.242902,0,0,0,1,0
"DSignal Liab 4 Dam 3",0.0385,1,0.774663,0.225337,77544.1,1105090,794913,0,0,0.00207684,0.00049838,0.290758,0.0400057,0.51298,0.122126,0.194185,0.0366451,0.00519211,0.184839,0.609553,0.194185,0.00623053,0,0.0612669,0.283489,0.416407,0.238837,0,0,0,1,0
"DSignal Liab 4 Dam 4",0.041,1,0.788086,0.211914,93847.7,1137690,762306,0,0,0.00390625,0.000996761,0.310547,0.0454351,0.500977,0.126823,0.18457,0.037037,0,0.00585938,0.199219,0.605469,0.189453,0.00292969,0.0556641,0.276367,0.416016,0.249023,0,0,0,1,0
"DSignal Liab 4 Dam 5",0.0403,1,0.782522,0.217478,106653,1163310,736694,0,0,0.00595829,0.00149514,0.271102,0.0390056,0.537239,0.133745,0.1857,0.0366451,0,0,0.00496524,0.212512,0.782522,0.000993049,0.0794439,0.261172,0.382324,0.276068,0,0,0,1,0
"DSignal Liab 5 Dam 1",0.0393,1,0.963377,0.0366226,61749.7,1073500,826501,0,0,0,0,0.00712106,0.00100014,0.138352,0.0336218,0.854527,0.164609,0.793489,0.201424,0.00508647,0,0,0,0.00508647,0.0335707,0.241099,0.720244,0,0,0,0,1
"DSignal Liab 5 Dam 2",0.0417,1,0.966443,0.033557,77037.4,1104070,795926,0,0,0,0,0.0115053,0.00171453,0.16395,0.0422744,0.824545,0.168528,0.169703,0.654842,0.167785,0.00767018,0,0,0.00575264,0.050815,0.247363,0.696069,0,0,0,0,1
"DSignal Liab 5 Dam 3",0.0394,1,0.948171,0.0518293,92530.5,1135060,764940,0,0,0,0,0.00813008,0.00114302,0.175813,0.0427689,0.816057,0.157358,0.00914634,0.229675,0.575203,0.179878,0.00609756,0,0.00101626,0.0426829,0.242886,0.713415,0,0,0,0,1
"DSignal Liab 5 Dam 4",0.0391,1,0.960123,0.0398773,115695,1181390,718610,0,0,0,0,0.00613497,0.000857265,0.192229,0.0464771,0.801636,0.153635,0,0.00511247,0.194274,0.615542,0.185072,0,0.00306748,0.0470348,0.313906,0.635992,0,0,0,0,1
"DSignal Liab 5 Dam 5",0.0382,1,0.966492,0.0335079,131649,1213300,686702,0,0,0,0,0.00628272,0.000857265,0.150785,0.0355995,0.842932,0.15775,0,0,0.00628272,0.17801,0.815707,0,0.00104712,0.0418848,0.281675,0.675393,0,0,0,0,1
"LiabStr 1",0.1936,1,0.013843,0.986157,1461.78,952923,947077,1,1,0,0,0,0,0,0,0,0,0.188223,0.195455,0.203099,0.212603,0.20062,0.786157,0.208058,0.00578512,0,0,0.789463,0.204752,0.00578512,0,0
"LiabStr 1 DamStr 1",0.0364,1,0.0131723,0.986828,878.156,951755,948245,1,0.188223,0,0,0,0,0,0,0,0,1,0,0,0,0,0.769484,0.218441,0.0120746,0,0,0.803513,0.192097,0.00439078,0,0
"LiabStr 1 DamStr 2",0.0378,1,0.012685,0.987315,1057.08,952113,947887,1,0.195455,0,0,0,0,0,0,0,0,0,1,0,0,0,0.714588,0.27907,0.00634249,0,0,0.80444,0.187104,0.00845666,0,0
