"OptionSet","Exploit","Filter","All","D2 0.17  ","D2 0.33  ","D2 0.5  ","D2 0.67  ","D2 0.83  "
"bothbasecosts","0.0011549036332394536","DSignal Liab 5 Dam 4",0.025,0,0,0,0.996885,0.00311526
"bothbasecosts","0.0011549036332394536","DSignal Liab 5 Dam 5",0,,,,,
"damhighcosts","0.010413403254322422","All",1,0.016864,0.0416218,0.0667384,0.0660208,0.000717618
"damhighcosts","0.010413403254322422","DSignal Liab 1 Dam 1",0.3875,0.037037,0.0777778,0.0953704,0.00555556,0
"damhighcosts","0.010413403254322422","DSignal Liab 1 Dam 2",0.2989,0.00840336,0.0336134,0.0996399,0.207683,0.00120048
"damhighcosts","0.010413403254322422","DSignal Liab 1 Dam 3",0.0452,0,0.031746,0,0.031746,0.00793651
"damhighcosts","0.010413403254322422","DSignal Liab 1 Dam 4",0.0011,0,0,0,0.333333,0
"damhighcosts","0.010413403254322422","DSignal Liab 1 Dam 5",0,,,,,
"shootoutbasecosts","0.0003574806892847582","All",1,0.379947,0.508269,0.013733,0.0355877,0.0624631
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 1 Dam 1",0.0071,1,0,0,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 1 Dam 2",0.0099,1,0,0,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 1 Dam 3",0.017,1,0,0,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 1 Dam 4",0.0322,1,0,0,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 1 Dam 5",0.034,1,0,0,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 2 Dam 1",0.0416,0.0673759,0.932624,0,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 2 Dam 2",0.0521,0.0764873,0.923513,0,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 2 Dam 3",0.0617,1,0,0,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 2 Dam 4",0.0907,1,0,0,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 2 Dam 5",0.1023,0.998557,0.001443,0,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 3 Dam 1",0.1214,0.0620438,0.902676,0.0352798,0,0
"shootoutbasecosts","0.0003574806892847582","DSignal Liab 3 Dam 2",0.122,0.0447942,0.92615,0.0266344,0.00121065,0.00121065
