"OptionSet","Exploit","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","PBargains2","DBargains2","POffer2","DOffer2","POfferMixedness2","DOfferMixedness2","Settles2","PBet2","DBet2","PBetMixedness2","DBetMixedness2","PAbandons2","DDefaults2","Trial","PWinPct","PWealth","DWealth","PWelfare","DWelfare","TotExpense","False+","False-","PDSWelfare","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","P Files","D Answers","PDoesntFile","DDoesntAnswer","Settles1","PAbandons1","DDefaults1","Settles2","PAbandons2","DDefaults2","P Loses","P Wins"
"liablowcosts","0.0004570264838987787","DLiabilitySignal5",0.1917,0,0.19168,0.802588,1,0.000626043,0,0.000626043,,,,,0,,,,,0,0.000626043,0,0,,,,,0,,,,,0,0,0,,1096670,899996,1096670,899996,3338.55,6744.05,3109.7,0,0,0,,0,0.000626043,0,0.932596,0,-0.380426,1,0.000626043,0,0.999374,0,0,0.000626043,0,0,0,0,0
"liablowcosts","0.0004570264838987787","MutOptLiability5",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","MutOptLiability4",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"liablowcosts","0.0004570264838987787","MutOptLiability3",0.0011,0,0.00108,0.512346,1,1,0,0,,,,,0,,,,,0,0,0.111111,0.296296,,,,,0,,,,,0,0,1,0.555556,1043890,932778,1043890,932778,23333.3,26728.4,37407.4,0,0,0,,0,0,0,0.666667,0,3,1,1,0,0,0,0,0,0,0,0,0.444444,0.555556
"liablowcosts","0.0004570264838987787","MutOptLiability2",0.0276,0,0.0276,0.506522,1,1,0.0927536,0.0913043,0.833333,0.166667,0.00760692,0.00699223,0,,,,,0,0,0.333333,0.366667,,,,,0,,,,,0,0,1,0.557971,1044130,932536,1044130,932536,23333.3,33512.1,18029,0,0,0,,0,0,0,0.452174,0,2,1,1,0,0,0,0,0,0,0,0,0.442029,0.557971
"liablowcosts","0.0004570264838987787","MutOptLiability1",0.2157,0,0.21572,0.500896,0.999629,0.999444,0.303356,0.297793,0.784898,0.256919,0.0402338,0.0214956,0,,,,,0.000185426,0.000185426,0.523085,0.513258,,,,,0,,,,,0.000185426,0.000185426,0.998702,0.508726,1039200,937481,1039200,937481,23314.2,24538.8,20115.4,0,0,0,,0.000370851,0.000370851,0,0.50547,0,1,0.999629,0.999444,0.000370851,0.000185426,0,0.000185426,0.000185426,0,0.000185426,0.000185426,0.490636,0.508066
"liablowcosts","0.0004570264838987787","MutOptLiability0",0.5159,0,0.51588,0.499884,0.750872,0.501822,0.184927,0.191828,0.699187,0.340768,0.0624372,0.0366111,0,,,,,0.000232612,7.75374E-05,0.363883,0.369621,0.668224,0.311526,0.0386702,0.0383553,0.00108552,,,,,0.000155075,7.75374E-05,0.500194,0.504263,1043520,943949,1043520,943949,12526.9,15435.6,14340.5,0,0,0.00108552,54166.7,0.000387687,0.000155075,0,0.500582,0,0,0.750872,0.501822,0.249128,0.24905,0,0.000232612,7.75374E-05,0.00108552,0.000155075,7.75374E-05,0.247965,0.252229
"liablowcosts","0.0004570264838987787","MutOptLiability-1",0.2121,0,0.21208,0.501918,0.753678,0.499434,0.29536,0.285175,0.575746,0.431874,0.055628,0.0492763,0.00282912,,,,,0.000188608,0.000565824,0.485289,0.486986,0.593146,0.425234,0.0244043,0.0182012,0.0860053,,,,,0.000188608,0.000188608,0.409468,0.485951,1043670,944444,1043670,944444,11883.3,16934.3,16885.8,0,0,0.0888344,52229.3,0.000377216,0.000754432,0,0.504338,0,-1,0.753678,0.499434,0.246322,0.254244,0.00282912,0.000188608,0.000565824,0.0860053,0.000188608,0.000188608,0.210487,0.198982
"liablowcosts","0.0004570264838987787","MutOptLiability-2",0.0262,0,0.02624,0.499746,0.704268,0.373476,0.339939,0.342988,0.500692,0.502766,0.0464983,0.0384172,0.29878,,,,,0,0,0.070122,0.0731707,0.5,0.479167,0.0387765,0.0293289,0.0625,,,,,0,0,0.012195,0.625,1048450,945638,1048450,945638,5914.63,20016.5,14457.6,0,0,0.36128,50140.6,0,0,0,0.460366,0,-2,0.704268,0.373476,0.295732,0.330793,0.29878,0,0,0.0625,0,0,0.00457317,0.007622
"liablowcosts","0.0004570264838987787","MutOptLiability-3",0.0014,0,0.0014,0.485714,0.371429,0,0,0,,,,,0,,,,,0,0,0,0,,,,,0,,,,,0,0,0,,1035900,962857,1035900,962857,1238.1,22857.1,20476.2,0,0,0,,0,0,0,0.342857,0,-3,0.371429,0,0.628571,0.371429,0,0,0,0,0,0,0,0
